*amount,time,tradetype,price
buy,"36,289.66",0.006815,23:57:06
buy,"36,310.66",0.006348,23:57:06
buy,"36,317.98",0.096770,23:57:07
buy,"36,326.00",0.058042,23:57:08
buy,"36,326.37",0.125000,23:57:08
buy,"36,335.41",0.166445,23:57:10
buy,"36,338.50",0.132963,23:57:10
buy,"36,338.53",0.051101,23:57:10
buy,"36,338.50",0.132963,23:57:11
buy,"36,339.92",0.018588,23:57:11
buy,"36,349.51",0.246320,23:57:12
buy,"36,356.00",0.098833,23:57:13
buy,"36,357.51",0.146457,23:57:15
buy,"36,357.82",0.009546,23:57:15
buy,"36,357.81",0.018418,23:57:16
buy,"36,357.82",0.018418,23:57:16
buy,"36,365.99",0.081184,23:57:17
buy,"36,358.36",0.033462,23:57:19
buy,"36,345.00",0.000935,23:57:22
buy,"36,358.36",0.000935,23:57:22
buy,"36,344.02",0.0-+00549,23:57:32
buy,"36,344.02",0.001375,23:57:34
buy,"36,367.05",0.000191,23:57:40
buy,"36,365.18",0.961695,23:57:42
buy,"36,370.96",0.000292,23:57:47
buy,"36,384.98",0.000244,23:57:51
buy,"36,410.62",0.000249,23:58:03
buy,"36,404.75",0.008987,23:58:07
buy,"36,410.72",0.112070,23:58:07
buy,"36,410.74",0.193667,23:58:07
buy,"36,400.17",0.195468,23:58:08
buy,"36,370.60",0.122103,23:58:10
buy,"36,367.28",0.047146,23:58:11
buy,"36,370.60",0.047146,23:58:11
buy,"36,390.96",0.023153,23:58:14
buy,"36,391.09",0.002634,23:58:14
buy,"36,395.54",0.046640,23:58:15
buy,"36,399.39",0.003403,23:58:16
buy,"36,399.55",0.012306,23:58:16
buy,"36,399.40",0.038576,23:58:18
sell,"36,317.81",0.000586,23:57:07
sel-+l,"36,317.98",0.009846,23:57:07
sell,"36,325.99",0.002473,23:57:08
sell,"36,326.00",0.011248,23:57:08
sell,"36,335.39",0.133841,23:57:10
sell,"36,335.41",0.097977,23:57:10
sell,"36,338.22",0.001006,23:57:10
sell,"36,338.53",0.098399,23:57:10
sell,"36,349.51",0.179941,23:57:12
sell,"36,355.99",0.007867,23:57:13
sell,"36,356.00",0.127023,23:57:13
sell,"36,357.51",0.349016,23:57:15
sell,"36,357.81",0.118807,23:57:16
sell,"36,357.82",0.012090,23:57:16
sell,"36,365.99",0.048776,23:57:17
sell,"36,358.37",0.056624,23:57:19
sell,"36,365.99",0.021770,23:57:19
sell,"36,351.32",0.000779,23:57:20
sell,"36,330.00",0.962627,23:57:26
sell,"36,358.37",0.962627,23:57:26
sell,"36,344.01",0.038250,23:57:34
sell,"36,370.95",0.164654,23:57:46
sell,"36,400.94",0.000221,23:57:56
sell,"36,404.35",0.019783,23:58:00
sell,"36,413.08",0.000158,23:58:04
sell,"36,413.08",0.001341,23:58:06
sell,"36,413.09",0.001341,23:58:06
sell,"36,404.75",0.077800,23:58:07
sell,"36,410.72",0.154034,23:58:07
sell,"36,410.74",0.228637,23:58:07
sell,"36,385.11",0.016490,23:58:08
sell,"36,400.17",0.165421,23:58:08
sell,"36,370.60",0.063785,23:58:10
sell,"36,370.90",0.934201,23:58:10
sell,"36,370.96",0.027494,23:58:10
sell,"36,367.28",0.024413,23:58:11
sell,"36,370.60",0.118375,23:58:11
sell,"36,383.43",0.187416,23:58:12
sell,"36,390.96",0.011276,23:58:14
sell,"36,395.54",0.153260,23:58:15
sell,"36,399.39",0.022135,23:58:16
sell,"36,399.39",0.012328,23:58:18
